model,cond,pair,layer,n,metric,value
en-de-fair,fair,en-de,16,2009,mexa_mutual,0.30214036834245894
en-de-fair,fair,en-de,16,2009,top1_a2b,0.6087605774016924
en-de-fair,fair,en-de,16,2009,top1_b2a,0.3469387755102041
en-de-starved,starved,en-de,0,1000,hungarian,0.4236
en-de-starved,starved,en-de,0,1000,mexa_mutual,0.28859999999999997
en-de-starved,starved,en-de,0,1000,top1_a2b,0.3498
en-de-starved,starved,en-de,0,1000,top1_b2a,0.36079999999999995
en-de-starved,starved,en-de,0,2009,hungarian,0.38476854156296664
en-de-starved,starved,en-de,0,2009,mexa_mutual,0.25833748133399703
en-de-starved,starved,en-de,0,2009,top1_a2b,0.31408661025385765
en-de-starved,starved,en-de,0,2009,top1_b2a,0.32653061224489793
en-de-starved,starved,en-de,1,1000,hungarian,0.8236000000000001
en-de-starved,starved,en-de,1,1000,mexa_mutual,0.39180000000000004
en-de-starved,starved,en-de,1,1000,top1_a2b,0.5556
en-de-starved,starved,en-de,1,1000,top1_b2a,0.4434
en-de-starved,starved,en-de,1,2009,hungarian,0.7765057242409159
en-de-starved,starved,en-de,1,2009,mexa_mutual,0.36585365853658536
en-de-starved,starved,en-de,1,2009,top1_a2b,0.5246391239422599
en-de-starved,starved,en-de,1,2009,top1_b2a,0.4141363862618218
en-de-starved,starved,en-de,2,1000,hungarian,0.9280000000000002
en-de-starved,starved,en-de,2,1000,mexa_mutual,0.34199999999999997
en-de-starved,starved,en-de,2,1000,top1_a2b,0.6514
en-de-starved,starved,en-de,2,1000,top1_b2a,0.40120000000000006
en-de-starved,starved,en-de,2,2009,hungarian,0.8929815828770533
en-de-starved,starved,en-de,2,2009,mexa_mutual,0.3205574912891986
en-de-starved,starved,en-de,2,2009,top1_a2b,0.6177202588352414
en-de-starved,starved,en-de,2,2009,top1_b2a,0.3673469387755102
en-de-starved,starved,en-de,3,1000,hungarian,0.9446
en-de-starved,starved,en-de,3,1000,mexa_mutual,0.36019999999999996
en-de-starved,starved,en-de,3,1000,top1_a2b,0.651
en-de-starved,starved,en-de,3,1000,top1_b2a,0.4372
en-de-starved,starved,en-de,3,2009,hungarian,0.9118964659034345
en-de-starved,starved,en-de,3,2009,mexa_mutual,0.3330014932802389
en-de-starved,starved,en-de,3,2009,top1_a2b,0.6127426580388253
en-de-starved,starved,en-de,3,2009,top1_b2a,0.40467894474863114
en-de-starved,starved,en-de,4,1000,hungarian,0.9644
en-de-starved,starved,en-de,4,1000,mexa_mutual,0.3968
en-de-starved,starved,en-de,4,1000,top1_a2b,0.7224
en-de-starved,starved,en-de,4,1000,top1_b2a,0.4598
en-de-starved,starved,en-de,4,2009,hungarian,0.9407665505226481
en-de-starved,starved,en-de,4,2009,mexa_mutual,0.36884021901443503
en-de-starved,starved,en-de,4,2009,top1_a2b,0.6849178695868592
en-de-starved,starved,en-de,4,2009,top1_b2a,0.42857142857142855
en-de-starved,starved,en-de,5,1000,hungarian,0.8446
en-de-starved,starved,en-de,5,1000,mexa_mutual,0.3258
en-de-starved,starved,en-de,5,1000,top1_a2b,0.394
en-de-starved,starved,en-de,5,1000,top1_b2a,0.4226
en-de-starved,starved,en-de,5,2009,hungarian,0.8337481333997013
en-de-starved,starved,en-de,5,2009,mexa_mutual,0.2976605276256844
en-de-starved,starved,en-de,5,2009,top1_a2b,0.3638626182180189
en-de-starved,starved,en-de,5,2009,top1_b2a,0.38476854156296664
en-de-starved,starved,en-de,6,1000,hungarian,0.8912000000000001
en-de-starved,starved,en-de,6,1000,mexa_mutual,0.41180000000000005
en-de-starved,starved,en-de,6,1000,top1_a2b,0.4878
en-de-starved,starved,en-de,6,1000,top1_b2a,0.5214000000000001
en-de-starved,starved,en-de,6,2009,hungarian,0.8865107018417123
en-de-starved,starved,en-de,6,2009,mexa_mutual,0.38078646092583374
en-de-starved,starved,en-de,6,2009,top1_a2b,0.45744151319064214
en-de-starved,starved,en-de,6,2009,top1_b2a,0.4878048780487805
en-de-starved,starved,en-de,7,1000,hungarian,0.9054
en-de-starved,starved,en-de,7,1000,mexa_mutual,0.4948
en-de-starved,starved,en-de,7,1000,top1_a2b,0.5592
en-de-starved,starved,en-de,7,1000,top1_b2a,0.585
en-de-starved,starved,en-de,7,2009,hungarian,0.9059233449477352
en-de-starved,starved,en-de,7,2009,mexa_mutual,0.46938775510204084
en-de-starved,starved,en-de,7,2009,top1_a2b,0.5326032852165257
en-de-starved,starved,en-de,7,2009,top1_b2a,0.560477849676456
en-de-starved,starved,en-de,8,1000,hungarian,0.909
en-de-starved,starved,en-de,8,1000,mexa_mutual,0.4508
en-de-starved,starved,en-de,8,1000,top1_a2b,0.4662
en-de-starved,starved,en-de,8,1000,top1_b2a,0.6678000000000001
en-de-starved,starved,en-de,8,2009,hungarian,0.904927824788452
en-de-starved,starved,en-de,8,2009,mexa_mutual,0.4295669487307118
en-de-starved,starved,en-de,8,2009,top1_a2b,0.44300647088103534
en-de-starved,starved,en-de,8,2009,top1_b2a,0.6450970632155301
en-de-starved,starved,en-de,9,1000,hungarian,0.9443999999999999
en-de-starved,starved,en-de,9,1000,mexa_mutual,0.6262000000000001
en-de-starved,starved,en-de,9,1000,top1_a2b,0.6372
en-de-starved,starved,en-de,9,1000,top1_b2a,0.8568
en-de-starved,starved,en-de,9,2009,hungarian,0.9457441513190642
en-de-starved,starved,en-de,9,2009,mexa_mutual,0.6007964161274266
en-de-starved,starved,en-de,9,2009,top1_a2b,0.6107516177202589
en-de-starved,starved,en-de,9,2009,top1_b2a,0.8387257341961175
en-de-starved,starved,en-de,10,1000,hungarian,0.9718
en-de-starved,starved,en-de,10,1000,mexa_mutual,0.8256
en-de-starved,starved,en-de,10,1000,top1_a2b,0.8413999999999999
en-de-starved,starved,en-de,10,1000,top1_b2a,0.961
en-de-starved,starved,en-de,10,2009,hungarian,0.9686411149825784
en-de-starved,starved,en-de,10,2009,mexa_mutual,0.8018914883026381
en-de-starved,starved,en-de,10,2009,top1_a2b,0.8168242906918866
en-de-starved,starved,en-de,10,2009,top1_b2a,0.9561971129915381
en-de-starved,starved,en-de,11,1000,hungarian,0.9945999999999999
en-de-starved,starved,en-de,11,1000,mexa_mutual,0.9262
en-de-starved,starved,en-de,11,1000,top1_a2b,0.9384
en-de-starved,starved,en-de,11,1000,top1_b2a,0.983
en-de-starved,starved,en-de,11,2009,hungarian,0.9920358387257342
en-de-starved,starved,en-de,11,2009,mexa_mutual,0.9113987058237929
en-de-starved,starved,en-de,11,2009,top1_a2b,0.9248382279741165
en-de-starved,starved,en-de,11,2009,top1_b2a,0.9785963165754107
en-de-starved,starved,en-de,12,1000,hungarian,0.9987999999999999
en-de-starved,starved,en-de,12,1000,mexa_mutual,0.9603999999999999
en-de-starved,starved,en-de,12,1000,top1_a2b,0.9673999999999999
en-de-starved,starved,en-de,12,1000,top1_b2a,0.9907999999999999
en-de-starved,starved,en-de,12,2009,hungarian,0.9990044798407167
en-de-starved,starved,en-de,12,2009,mexa_mutual,0.9507217521154804
en-de-starved,starved,en-de,12,2009,top1_a2b,0.960179193628671
en-de-starved,starved,en-de,12,2009,top1_b2a,0.9875559980089597
en-de-starved,starved,en-de,13,1000,hungarian,1.0
en-de-starved,starved,en-de,13,1000,mexa_mutual,0.9836
en-de-starved,starved,en-de,13,1000,top1_a2b,0.9862
en-de-starved,starved,en-de,13,1000,top1_b2a,0.9960000000000001
en-de-starved,starved,en-de,13,2009,hungarian,1.0
en-de-starved,starved,en-de,13,2009,mexa_mutual,0.9785963165754107
en-de-starved,starved,en-de,13,2009,top1_a2b,0.9810851169736187
en-de-starved,starved,en-de,13,2009,top1_b2a,0.9960179193628671
en-de-starved,starved,en-de,14,1000,hungarian,1.0
en-de-starved,starved,en-de,14,1000,mexa_mutual,0.9926
en-de-starved,starved,en-de,14,1000,top1_a2b,0.9945999999999999
en-de-starved,starved,en-de,14,1000,top1_b2a,0.9974000000000001
en-de-starved,starved,en-de,14,2009,hungarian,1.0
en-de-starved,starved,en-de,14,2009,mexa_mutual,0.9880537580886013
en-de-starved,starved,en-de,14,2009,top1_a2b,0.9900447984071677
en-de-starved,starved,en-de,14,2009,top1_b2a,0.9970134395221503
en-de-starved,starved,en-de,15,1000,hungarian,1.0
en-de-starved,starved,en-de,15,1000,mexa_mutual,0.9853999999999999
en-de-starved,starved,en-de,15,1000,top1_a2b,0.9875999999999999
en-de-starved,starved,en-de,15,1000,top1_b2a,0.9965999999999999
en-de-starved,starved,en-de,15,2009,hungarian,1.0
en-de-starved,starved,en-de,15,2009,mexa_mutual,0.9771030363364858
en-de-starved,starved,en-de,15,2009,top1_a2b,0.9810851169736187
en-de-starved,starved,en-de,15,2009,top1_b2a,0.9945246391239423
en-de-starved,starved,en-de,16,1000,hungarian,1.0
en-de-starved,starved,en-de,16,1000,mexa_mutual,0.5332
en-de-starved,starved,en-de,16,1000,top1_a2b,0.8528
en-de-starved,starved,en-de,16,1000,top1_b2a,0.6024
en-de-starved,starved,en-de,16,2009,hungarian,1.0
en-de-starved,starved,en-de,16,2009,mexa_mutual,0.45893479342956695
en-de-starved,starved,en-de,16,2009,top1_a2b,0.7775012444001991
en-de-starved,starved,en-de,16,2009,top1_b2a,0.5490293678446988
en-fr-fair,fair,en-fr,0,1000,hungarian,0.8437999999999999
en-fr-fair,fair,en-fr,0,1000,mexa_mutual,0.616
en-fr-fair,fair,en-fr,0,1000,top1_a2b,0.7282
en-fr-fair,fair,en-fr,0,1000,top1_b2a,0.6892
en-fr-fair,fair,en-fr,0,2009,hungarian,0.7989049278247885
en-fr-fair,fair,en-fr,0,2009,mexa_mutual,0.571926331508213
en-fr-fair,fair,en-fr,0,2009,top1_a2b,0.6784469885515182
en-fr-fair,fair,en-fr,0,2009,top1_b2a,0.6550522648083623
en-fr-fair,fair,en-fr,1,1000,hungarian,1.0
en-fr-fair,fair,en-fr,1,1000,mexa_mutual,0.7496
en-fr-fair,fair,en-fr,1,1000,top1_a2b,0.907
en-fr-fair,fair,en-fr,1,1000,top1_b2a,0.8056000000000001
en-fr-fair,fair,en-fr,1,2009,hungarian,1.0
en-fr-fair,fair,en-fr,1,2009,mexa_mutual,0.7307117969138875
en-fr-fair,fair,en-fr,1,2009,top1_a2b,0.8994524639123942
en-fr-fair,fair,en-fr,1,2009,top1_b2a,0.7839721254355401
en-fr-fair,fair,en-fr,2,1000,hungarian,0.8712
en-fr-fair,fair,en-fr,2,1000,mexa_mutual,0.5034
en-fr-fair,fair,en-fr,2,1000,top1_a2b,0.5222
en-fr-fair,fair,en-fr,2,1000,top1_b2a,0.6754
en-fr-fair,fair,en-fr,2,2009,hungarian,0.8725734196117472
en-fr-fair,fair,en-fr,2,2009,mexa_mutual,0.4873071179691389
en-fr-fair,fair,en-fr,2,2009,top1_a2b,0.5067197610751618
en-fr-fair,fair,en-fr,2,2009,top1_b2a,0.6530612244897959
en-fr-fair,fair,en-fr,3,1000,hungarian,0.8775999999999999
en-fr-fair,fair,en-fr,3,1000,mexa_mutual,0.5234
en-fr-fair,fair,en-fr,3,1000,top1_a2b,0.5432
en-fr-fair,fair,en-fr,3,1000,top1_b2a,0.6666000000000001
en-fr-fair,fair,en-fr,3,2009,hungarian,0.8755599800895968
en-fr-fair,fair,en-fr,3,2009,mexa_mutual,0.5087108013937283
en-fr-fair,fair,en-fr,3,2009,top1_a2b,0.5291189646590343
en-fr-fair,fair,en-fr,3,2009,top1_b2a,0.6450970632155301
en-fr-fair,fair,en-fr,4,1000,hungarian,0.8628
en-fr-fair,fair,en-fr,4,1000,mexa_mutual,0.5216000000000001
en-fr-fair,fair,en-fr,4,1000,top1_a2b,0.542
en-fr-fair,fair,en-fr,4,1000,top1_b2a,0.6222
en-fr-fair,fair,en-fr,4,2009,hungarian,0.8641114982578397
en-fr-fair,fair,en-fr,4,2009,mexa_mutual,0.5042309606769537
en-fr-fair,fair,en-fr,4,2009,top1_a2b,0.5236436037829766
en-fr-fair,fair,en-fr,4,2009,top1_b2a,0.605276256844201
en-fr-fair,fair,en-fr,5,1000,hungarian,0.8774000000000001
en-fr-fair,fair,en-fr,5,1000,mexa_mutual,0.5064
en-fr-fair,fair,en-fr,5,1000,top1_a2b,0.5254000000000001
en-fr-fair,fair,en-fr,5,1000,top1_b2a,0.6368
en-fr-fair,fair,en-fr,5,2009,hungarian,0.8765555002488801
en-fr-fair,fair,en-fr,5,2009,mexa_mutual,0.492284718765555
en-fr-fair,fair,en-fr,5,2009,top1_a2b,0.5116973618715779
en-fr-fair,fair,en-fr,5,2009,top1_b2a,0.615729218516675
en-fr-fair,fair,en-fr,6,1000,hungarian,0.9258000000000001
en-fr-fair,fair,en-fr,6,1000,mexa_mutual,0.6362
en-fr-fair,fair,en-fr,6,1000,top1_a2b,0.6518
en-fr-fair,fair,en-fr,6,1000,top1_b2a,0.7798
en-fr-fair,fair,en-fr,6,2009,hungarian,0.9248382279741165
en-fr-fair,fair,en-fr,6,2009,mexa_mutual,0.6102538576406172
en-fr-fair,fair,en-fr,6,2009,top1_a2b,0.6256844201095072
en-fr-fair,fair,en-fr,6,2009,top1_b2a,0.7590841214534594
en-fr-fair,fair,en-fr,7,1000,hungarian,0.9565999999999999
en-fr-fair,fair,en-fr,7,1000,mexa_mutual,0.7658
en-fr-fair,fair,en-fr,7,1000,top1_a2b,0.7792
en-fr-fair,fair,en-fr,7,1000,top1_b2a,0.909
en-fr-fair,fair,en-fr,7,2009,hungarian,0.95370831259333
en-fr-fair,fair,en-fr,7,2009,mexa_mutual,0.7426580388252862
en-fr-fair,fair,en-fr,7,2009,top1_a2b,0.754604280736685
en-fr-fair,fair,en-fr,7,2009,top1_b2a,0.9009457441513191
en-fr-fair,fair,en-fr,8,1000,hungarian,0.9800000000000001
en-fr-fair,fair,en-fr,8,1000,mexa_mutual,0.8778
en-fr-fair,fair,en-fr,8,1000,top1_a2b,0.8966000000000001
en-fr-fair,fair,en-fr,8,1000,top1_b2a,0.9597999999999999
en-fr-fair,fair,en-fr,8,2009,hungarian,0.9766052762568442
en-fr-fair,fair,en-fr,8,2009,mexa_mutual,0.8626182180189149
en-fr-fair,fair,en-fr,8,2009,top1_a2b,0.8785465405674465
en-fr-fair,fair,en-fr,8,2009,top1_b2a,0.9591836734693877
en-fr-fair,fair,en-fr,9,1000,hungarian,0.9896
en-fr-fair,fair,en-fr,9,1000,mexa_mutual,0.9134
en-fr-fair,fair,en-fr,9,1000,top1_a2b,0.93
en-fr-fair,fair,en-fr,9,1000,top1_b2a,0.9730000000000001
en-fr-fair,fair,en-fr,9,2009,hungarian,0.9860627177700348
en-fr-fair,fair,en-fr,9,2009,mexa_mutual,0.9009457441513191
en-fr-fair,fair,en-fr,9,2009,top1_a2b,0.9178695868591339
en-fr-fair,fair,en-fr,9,2009,top1_b2a,0.9681433549029368
en-fr-fair,fair,en-fr,10,1000,hungarian,0.9948
en-fr-fair,fair,en-fr,10,1000,mexa_mutual,0.9366
en-fr-fair,fair,en-fr,10,1000,top1_a2b,0.9488
en-fr-fair,fair,en-fr,10,1000,top1_b2a,0.9833999999999999
en-fr-fair,fair,en-fr,10,2009,hungarian,0.9950223992035838
en-fr-fair,fair,en-fr,10,2009,mexa_mutual,0.9303135888501742
en-fr-fair,fair,en-fr,10,2009,top1_a2b,0.9412643106022897
en-fr-fair,fair,en-fr,10,2009,top1_b2a,0.9830761572921851
en-fr-fair,fair,en-fr,11,1000,hungarian,0.9992000000000001
en-fr-fair,fair,en-fr,11,1000,mexa_mutual,0.9593999999999999
en-fr-fair,fair,en-fr,11,1000,top1_a2b,0.9652
en-fr-fair,fair,en-fr,11,1000,top1_b2a,0.993
en-fr-fair,fair,en-fr,11,2009,hungarian,0.9990044798407167
en-fr-fair,fair,en-fr,11,2009,mexa_mutual,0.9507217521154804
en-fr-fair,fair,en-fr,11,2009,top1_a2b,0.9566948730711797
en-fr-fair,fair,en-fr,11,2009,top1_b2a,0.9920358387257342
en-fr-fair,fair,en-fr,12,1000,hungarian,1.0
en-fr-fair,fair,en-fr,12,1000,mexa_mutual,0.9698
en-fr-fair,fair,en-fr,12,1000,top1_a2b,0.9746
en-fr-fair,fair,en-fr,12,1000,top1_b2a,0.9942
en-fr-fair,fair,en-fr,12,2009,hungarian,1.0
en-fr-fair,fair,en-fr,12,2009,mexa_mutual,0.9641612742658039
en-fr-fair,fair,en-fr,12,2009,top1_a2b,0.9696366351418616
en-fr-fair,fair,en-fr,12,2009,top1_b2a,0.9930313588850174
en-fr-fair,fair,en-fr,13,1000,hungarian,1.0
en-fr-fair,fair,en-fr,13,1000,mexa_mutual,0.9864
en-fr-fair,fair,en-fr,13,1000,top1_a2b,0.9879999999999999
en-fr-fair,fair,en-fr,13,1000,top1_b2a,0.9978
en-fr-fair,fair,en-fr,13,2009,hungarian,1.0
en-fr-fair,fair,en-fr,13,2009,mexa_mutual,0.9815828770532603
en-fr-fair,fair,en-fr,13,2009,top1_a2b,0.9835739173718268
en-fr-fair,fair,en-fr,13,2009,top1_b2a,0.9970134395221503
en-fr-fair,fair,en-fr,14,1000,hungarian,1.0
en-fr-fair,fair,en-fr,14,1000,mexa_mutual,0.9944
en-fr-fair,fair,en-fr,14,1000,top1_a2b,0.9945999999999999
en-fr-fair,fair,en-fr,14,1000,top1_b2a,0.9987999999999999
en-fr-fair,fair,en-fr,14,2009,hungarian,1.0
en-fr-fair,fair,en-fr,14,2009,mexa_mutual,0.9915380786460926
en-fr-fair,fair,en-fr,14,2009,top1_a2b,0.9920358387257342
en-fr-fair,fair,en-fr,14,2009,top1_b2a,0.9985067197610752
en-fr-fair,fair,en-fr,15,1000,hungarian,1.0
en-fr-fair,fair,en-fr,15,1000,mexa_mutual,0.9878
en-fr-fair,fair,en-fr,15,1000,top1_a2b,0.9922000000000001
en-fr-fair,fair,en-fr,15,1000,top1_b2a,0.9934
en-fr-fair,fair,en-fr,15,2009,hungarian,1.0
en-fr-fair,fair,en-fr,15,2009,mexa_mutual,0.9810851169736187
en-fr-fair,fair,en-fr,15,2009,top1_a2b,0.9865604778496765
en-fr-fair,fair,en-fr,15,2009,top1_b2a,0.9915380786460926
en-fr-fair,fair,en-fr,16,1000,hungarian,1.0
en-fr-fair,fair,en-fr,16,1000,mexa_mutual,0.7310000000000001
en-fr-fair,fair,en-fr,16,1000,top1_a2b,0.9587999999999999
en-fr-fair,fair,en-fr,16,1000,top1_b2a,0.7556
en-fr-fair,fair,en-fr,16,2009,hungarian,1.0
en-fr-fair,fair,en-fr,16,2009,mexa_mutual,0.6057740169238427
en-fr-fair,fair,en-fr,16,2009,top1_a2b,0.9407665505226481
en-fr-fair,fair,en-fr,16,2009,top1_b2a,0.6316575410652066
en-fr-starved,starved,en-fr,0,1000,hungarian,0.5917999999999999
en-fr-starved,starved,en-fr,0,1000,mexa_mutual,0.4084
en-fr-starved,starved,en-fr,0,1000,top1_a2b,0.49139999999999995
en-fr-starved,starved,en-fr,0,1000,top1_b2a,0.48360000000000003
en-fr-starved,starved,en-fr,0,2009,hungarian,0.5405674464907915
en-fr-starved,starved,en-fr,0,2009,mexa_mutual,0.3638626182180189
en-fr-starved,starved,en-fr,0,2009,top1_a2b,0.452463912394226
en-fr-starved,starved,en-fr,0,2009,top1_b2a,0.437033349925336
en-fr-starved,starved,en-fr,1,1000,hungarian,0.8724000000000001
en-fr-starved,starved,en-fr,1,1000,mexa_mutual,0.4958
en-fr-starved,starved,en-fr,1,1000,top1_a2b,0.6816
en-fr-starved,starved,en-fr,1,1000,top1_b2a,0.5422
en-fr-starved,starved,en-fr,1,2009,hungarian,0.8526630164260827
en-fr-starved,starved,en-fr,1,2009,mexa_mutual,0.45594823295171727
en-fr-starved,starved,en-fr,1,2009,top1_a2b,0.6525634644101543
en-fr-starved,starved,en-fr,1,2009,top1_b2a,0.4967645594823295
en-fr-starved,starved,en-fr,2,1000,hungarian,0.9064
en-fr-starved,starved,en-fr,2,1000,mexa_mutual,0.4354
en-fr-starved,starved,en-fr,2,1000,top1_a2b,0.7116
en-fr-starved,starved,en-fr,2,1000,top1_b2a,0.48179999999999995
en-fr-starved,starved,en-fr,2,2009,hungarian,0.8850174216027874
en-fr-starved,starved,en-fr,2,2009,mexa_mutual,0.3932304629168741
en-fr-starved,starved,en-fr,2,2009,top1_a2b,0.6764559482329517
en-fr-starved,starved,en-fr,2,2009,top1_b2a,0.43902439024390244
en-fr-starved,starved,en-fr,3,1000,hungarian,0.961
en-fr-starved,starved,en-fr,3,1000,mexa_mutual,0.4984
en-fr-starved,starved,en-fr,3,1000,top1_a2b,0.786
en-fr-starved,starved,en-fr,3,1000,top1_b2a,0.5324
en-fr-starved,starved,en-fr,3,2009,hungarian,0.9482329517172723
en-fr-starved,starved,en-fr,3,2009,mexa_mutual,0.45594823295171727
en-fr-starved,starved,en-fr,3,2009,top1_a2b,0.754604280736685
en-fr-starved,starved,en-fr,3,2009,top1_b2a,0.4883026381284221
en-fr-starved,starved,en-fr,4,1000,hungarian,0.9960000000000001
en-fr-starved,starved,en-fr,4,1000,mexa_mutual,0.563
en-fr-starved,starved,en-fr,4,1000,top1_a2b,0.8554
en-fr-starved,starved,en-fr,4,1000,top1_b2a,0.5934
en-fr-starved,starved,en-fr,4,2009,hungarian,0.9895470383275261
en-fr-starved,starved,en-fr,4,2009,mexa_mutual,0.5261324041811847
en-fr-starved,starved,en-fr,4,2009,top1_a2b,0.8267794922847188
en-fr-starved,starved,en-fr,4,2009,top1_b2a,0.5569935291189647
en-fr-starved,starved,en-fr,5,1000,hungarian,0.9862
en-fr-starved,starved,en-fr,5,1000,mexa_mutual,0.6258
en-fr-starved,starved,en-fr,5,1000,top1_a2b,0.758
en-fr-starved,starved,en-fr,5,1000,top1_b2a,0.6684
en-fr-starved,starved,en-fr,5,2009,hungarian,0.9805873568939771
en-fr-starved,starved,en-fr,5,2009,mexa_mutual,0.5973120955699353
en-fr-starved,starved,en-fr,5,2009,top1_a2b,0.7312095569935291
en-fr-starved,starved,en-fr,5,2009,top1_b2a,0.6431060228969636
en-fr-starved,starved,en-fr,6,1000,hungarian,0.8528
en-fr-starved,starved,en-fr,6,1000,mexa_mutual,0.4192
en-fr-starved,starved,en-fr,6,1000,top1_a2b,0.4304
en-fr-starved,starved,en-fr,6,1000,top1_b2a,0.5818
en-fr-starved,starved,en-fr,6,2009,hungarian,0.8481831757093081
en-fr-starved,starved,en-fr,6,2009,mexa_mutual,0.39671478347436534
en-fr-starved,starved,en-fr,6,2009,top1_a2b,0.4091587854654057
en-fr-starved,starved,en-fr,6,2009,top1_b2a,0.554006968641115
en-fr-starved,starved,en-fr,7,1000,hungarian,0.8577999999999999
en-fr-starved,starved,en-fr,7,1000,mexa_mutual,0.4766
en-fr-starved,starved,en-fr,7,1000,top1_a2b,0.4918
en-fr-starved,starved,en-fr,7,1000,top1_b2a,0.6534000000000001
en-fr-starved,starved,en-fr,7,2009,hungarian,0.8546540567446491
en-fr-starved,starved,en-fr,7,2009,mexa_mutual,0.45047287207565956
en-fr-starved,starved,en-fr,7,2009,top1_a2b,0.47038327526132406
en-fr-starved,starved,en-fr,7,2009,top1_b2a,0.6266799402687905
en-fr-starved,starved,en-fr,8,1000,hungarian,0.9346
en-fr-starved,starved,en-fr,8,1000,mexa_mutual,0.6918
en-fr-starved,starved,en-fr,8,1000,top1_a2b,0.706
en-fr-starved,starved,en-fr,8,1000,top1_b2a,0.8859999999999999
en-fr-starved,starved,en-fr,8,2009,hungarian,0.9323046291687407
en-fr-starved,starved,en-fr,8,2009,mexa_mutual,0.6630164260826281
en-fr-starved,starved,en-fr,8,2009,top1_a2b,0.6794425087108014
en-fr-starved,starved,en-fr,8,2009,top1_b2a,0.8685913389746143
en-fr-starved,starved,en-fr,9,1000,hungarian,0.9792
en-fr-starved,starved,en-fr,9,1000,mexa_mutual,0.8082
en-fr-starved,starved,en-fr,9,1000,top1_a2b,0.8299999999999998
en-fr-starved,starved,en-fr,9,1000,top1_b2a,0.9498
en-fr-starved,starved,en-fr,9,2009,hungarian,0.9711299153807864
en-fr-starved,starved,en-fr,9,2009,mexa_mutual,0.7874564459930313
en-fr-starved,starved,en-fr,9,2009,top1_a2b,0.8063713290194127
en-fr-starved,starved,en-fr,9,2009,top1_b2a,0.9442508710801394
en-fr-starved,starved,en-fr,10,1000,hungarian,0.9952
en-fr-starved,starved,en-fr,10,1000,mexa_mutual,0.9138
en-fr-starved,starved,en-fr,10,1000,top1_a2b,0.9308
en-fr-starved,starved,en-fr,10,1000,top1_b2a,0.9757999999999999
en-fr-starved,starved,en-fr,10,2009,hungarian,0.9940268790443006
en-fr-starved,starved,en-fr,10,2009,mexa_mutual,0.8964659034345446
en-fr-starved,starved,en-fr,10,2009,top1_a2b,0.913887506222001
en-fr-starved,starved,en-fr,10,2009,top1_b2a,0.9736187157789945
en-fr-starved,starved,en-fr,11,1000,hungarian,0.9984
en-fr-starved,starved,en-fr,11,1000,mexa_mutual,0.968
en-fr-starved,starved,en-fr,11,1000,top1_a2b,0.9788
en-fr-starved,starved,en-fr,11,1000,top1_b2a,0.9882
en-fr-starved,starved,en-fr,11,2009,hungarian,0.9980089596814335
en-fr-starved,starved,en-fr,11,2009,mexa_mutual,0.9576903932304629
en-fr-starved,starved,en-fr,11,2009,top1_a2b,0.96913887506222
en-fr-starved,starved,en-fr,11,2009,top1_b2a,0.9865604778496765
en-fr-starved,starved,en-fr,12,1000,hungarian,0.9992000000000001
en-fr-starved,starved,en-fr,12,1000,mexa_mutual,0.982
en-fr-starved,starved,en-fr,12,1000,top1_a2b,0.9879999999999999
en-fr-starved,starved,en-fr,12,1000,top1_b2a,0.993
en-fr-starved,starved,en-fr,12,2009,hungarian,0.9990044798407167
en-fr-starved,starved,en-fr,12,2009,mexa_mutual,0.978098556495769
en-fr-starved,starved,en-fr,12,2009,top1_a2b,0.9840716774514684
en-fr-starved,starved,en-fr,12,2009,top1_b2a,0.9925335988053758
en-fr-starved,starved,en-fr,13,1000,hungarian,1.0
en-fr-starved,starved,en-fr,13,1000,mexa_mutual,0.9890000000000001
en-fr-starved,starved,en-fr,13,1000,top1_a2b,0.9922000000000001
en-fr-starved,starved,en-fr,13,1000,top1_b2a,0.9965999999999999
en-fr-starved,starved,en-fr,13,2009,hungarian,1.0
en-fr-starved,starved,en-fr,13,2009,mexa_mutual,0.9860627177700348
en-fr-starved,starved,en-fr,13,2009,top1_a2b,0.9895470383275261
en-fr-starved,starved,en-fr,13,2009,top1_b2a,0.9960179193628671
en-fr-starved,starved,en-fr,14,1000,hungarian,1.0
en-fr-starved,starved,en-fr,14,1000,mexa_mutual,0.9955999999999999
en-fr-starved,starved,en-fr,14,1000,top1_a2b,0.9965999999999999
en-fr-starved,starved,en-fr,14,1000,top1_b2a,0.999
en-fr-starved,starved,en-fr,14,2009,hungarian,1.0
en-fr-starved,starved,en-fr,14,2009,mexa_mutual,0.9930313588850174
en-fr-starved,starved,en-fr,14,2009,top1_a2b,0.9945246391239423
en-fr-starved,starved,en-fr,14,2009,top1_b2a,0.9985067197610752
en-fr-starved,starved,en-fr,15,1000,hungarian,1.0
en-fr-starved,starved,en-fr,15,1000,mexa_mutual,0.9858
en-fr-starved,starved,en-fr,15,1000,top1_a2b,0.993
en-fr-starved,starved,en-fr,15,1000,top1_b2a,0.9926
en-fr-starved,starved,en-fr,15,2009,hungarian,1.0
en-fr-starved,starved,en-fr,15,2009,mexa_mutual,0.9805873568939771
en-fr-starved,starved,en-fr,15,2009,top1_a2b,0.9885515181682429
en-fr-starved,starved,en-fr,15,2009,top1_b2a,0.9915380786460926
en-fr-starved,starved,en-fr,16,1000,hungarian,1.0
en-fr-starved,starved,en-fr,16,1000,mexa_mutual,0.558
en-fr-starved,starved,en-fr,16,1000,top1_a2b,0.9274000000000001
