model,tok,train_langs,n_sentences,pair,a,b,same_script,trained_pair,n_trained_in_pair,variant,layer,is_ref_layer,top1_a2b,top1_b2a,mutual_nn,cosine_matched,cosine_nonmatched,cosine_margin,dprime
ar-starved,unigram_starved,ar,2009,en-ar,en,ar,0,0,1,centered,0,0,0.087108,0.10453,0.0632155,0.0722793,-2.96249e-05,0.0723089,1.87066
ar-starved,unigram_starved,ar,2009,en-ar,en,ar,0,0,1,centered,1,0,0.365854,0.433051,0.306122,0.131429,-3.16172e-05,0.131461,3.46026
ar-starved,unigram_starved,ar,2009,en-ar,en,ar,0,0,1,centered,2,0,0.392235,0.41563,0.312593,0.13356,5.95263e-05,0.133501,3.48796
ar-starved,unigram_starved,ar,2009,en-ar,en,ar,0,0,1,centered,3,0,0.401195,0.421603,0.314584,0.136449,0.000130374,0.136318,3.50114
ar-starved,unigram_starved,ar,2009,en-ar,en,ar,0,0,1,centered,4,0,0.405674,0.394724,0.304629,0.141699,0.000200372,0.141499,3.37635
ar-starved,unigram_starved,ar,2009,en-ar,en,ar,0,0,1,centered,5,0,0.383773,0.331508,0.252862,0.165969,0.000164977,0.165804,3.03307
ar-starved,unigram_starved,ar,2009,en-ar,en,ar,0,0,1,centered,6,0,0.392235,0.346441,0.26232,0.172765,0.000189536,0.172575,3.02153
ar-starved,unigram_starved,ar,2009,en-ar,en,ar,0,0,1,centered,7,0,0.507218,0.476356,0.372822,0.202583,0.000207191,0.202375,3.36718
ar-starved,unigram_starved,ar,2009,en-ar,en,ar,0,0,1,centered,8,0,0.695869,0.642608,0.557491,0.25809,0.000260156,0.257829,3.73479
ar-starved,unigram_starved,ar,2009,en-ar,en,ar,0,0,1,centered,9,0,0.624689,0.452464,0.303136,0.420907,0.00211871,0.418788,2.46096
ar-starved,unigram_starved,ar,2009,en-ar,en,ar,0,0,1,centered,10,0,0.811847,0.741663,0.617222,0.461062,0.00173033,0.459331,3.2186
ar-starved,unigram_starved,ar,2009,en-ar,en,ar,0,0,1,centered,11,0,0.894475,0.892982,0.808362,0.510039,0.00140865,0.508631,3.9479
ar-starved,unigram_starved,ar,2009,en-ar,en,ar,0,0,1,centered,12,1,0.950722,0.964659,0.92434,0.564096,0.000791768,0.563304,4.85915
ar-starved,unigram_starved,ar,2009,en-ar,en,ar,0,0,1,centered,13,0,0.956695,0.967148,0.932305,0.580552,0.000336569,0.580215,5.33179
ar-starved,unigram_starved,ar,2009,en-ar,en,ar,0,0,1,centered,14,0,0.962668,0.962668,0.936784,0.611794,9.53654e-05,0.611698,6.0864
ar-starved,unigram_starved,ar,2009,en-ar,en,ar,0,0,1,centered,15,0,0.957193,0.956695,0.926829,0.586061,-8.91582e-06,0.586069,6.15376
ar-starved,unigram_starved,ar,2009,en-ar,en,ar,0,0,1,centered,16,0,0.902937,0.916874,0.861125,0.467235,-0.000205533,0.46744,5.61023
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,raw,0,0,0.0328522,0.0303634,0.0159283,0.163868,0.116057,0.047811,0.970989
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,raw,1,0,0.014435,0.00696864,0.00447984,0.633893,0.620363,0.0135296,0.606715
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,raw,2,0,0.00846192,0.0074664,0.00398208,0.655745,0.644079,0.0116659,0.510404
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,raw,3,0,0.00447984,0.0074664,0.0024888,0.684697,0.675519,0.00917871,0.302604
