model,tok,train_langs,pair,a,b,same_script,trained_pair,n_trained_in_pair,variant,which_layer,layer,top1_a2b,top1_b2a,mutual_nn,cosine_matched,cosine_nonmatched,cosine_margin,dprime,cka
ar-fair-15b,unigram_destarved,ar,ar-zh,ar,zh,0,0,1,raw,best,1,0.0099552,0.0154306,0.0074664,0.236227,0.217807,0.0184204,0.507205,0.175565
ar-fair-15b,unigram_destarved,ar,ar-zh,ar,zh,0,0,1,centered,ref,12,0.074664,0.0273768,0.0129418,0.182399,-4.84029e-05,0.182447,1.4514,0.54333
ar-fair-15b,unigram_destarved,ar,ar-zh,ar,zh,0,0,1,centered,best,1,0.0333499,0.0338477,0.0258835,0.0423564,-2.99389e-05,0.0423863,0.903716,0.177479
ar-fair-1b,unigram_destarved,ar,en-de,en,de,1,0,0,raw,ref,12,0.0552514,0.0482827,0.0313589,0.901892,0.885733,0.0161594,0.923291,0.595644
ar-fair-1b,unigram_destarved,ar,en-de,en,de,1,0,0,raw,best,0,0.188153,0.173221,0.145346,0.271803,0.165231,0.106573,2.04164,0.255115
ar-fair-1b,unigram_destarved,ar,en-de,en,de,1,0,0,centered,ref,12,0.196615,0.172225,0.136884,0.267013,0.000130472,0.266883,1.87952,0.552495
ar-fair-1b,unigram_destarved,ar,en-de,en,de,1,0,0,centered,best,0,0.249378,0.249378,0.214535,0.16407,-4.08576e-05,0.164111,2.3804,0.253773
ar-fair-1b,unigram_destarved,ar,en-fr,en,fr,1,0,0,raw,ref,12,0.0438029,0.039323,0.0214037,0.899193,0.881735,0.0174588,0.965695,0.601226
ar-fair-1b,unigram_destarved,ar,en-fr,en,fr,1,0,0,raw,best,0,0.222997,0.146839,0.125436,0.291073,0.173239,0.117835,2.27035,0.266295
ar-fair-1b,unigram_destarved,ar,en-fr,en,fr,1,0,0,centered,ref,12,0.245893,0.227974,0.172225,0.300352,0.000177238,0.300175,2.16855,0.552855
ar-fair-1b,unigram_destarved,ar,en-fr,en,fr,1,0,0,centered,best,0,0.305127,0.288701,0.241414,0.193643,-3.98319e-05,0.193682,2.68966,0.263569
ar-fair-1b,unigram_destarved,ar,en-ar,en,ar,0,0,1,raw,ref,12,0.0438029,0.0557491,0.0134395,0.86113,0.836022,0.0251078,1.8154,0.602428
ar-fair-1b,unigram_destarved,ar,en-ar,en,ar,0,0,1,raw,best,0,0.0522648,0.0323544,0.0219014,0.105849,0.0592241,0.046625,1.38216,0.235386
ar-fair-1b,unigram_destarved,ar,en-ar,en,ar,0,0,1,centered,ref,12,0.42658,0.50224,0.329517,0.297997,-7.55159e-05,0.298073,3.11502,0.590815
ar-fair-1b,unigram_destarved,ar,en-ar,en,ar,0,0,1,centered,best,13,0.491289,0.537581,0.396217,0.30446,-6.76478e-05,0.304527,3.35999,0.549257
ar-fair-1b,unigram_destarved,ar,en-zh,en,zh,0,0,0,raw,ref,12,0.0114485,0.0134395,0.00597312,0.879188,0.868886,0.0103014,0.546449,0.518037
ar-fair-1b,unigram_destarved,ar,en-zh,en,zh,0,0,0,raw,best,0,0.0751618,0.0482827,0.037332,0.128618,0.0862796,0.0423382,1.03019,0.189939
ar-fair-1b,unigram_destarved,ar,en-zh,en,zh,0,0,0,centered,ref,12,0.0452962,0.026879,0.0164261,0.163496,7.79003e-05,0.163418,1.02482,0.469153
ar-fair-1b,unigram_destarved,ar,en-zh,en,zh,0,0,0,centered,best,0,0.102041,0.0895968,0.0706819,0.060369,1.39171e-05,0.0603551,1.15696,0.184599
ar-fair-1b,unigram_destarved,ar,de-fr,de,fr,1,0,0,raw,ref,12,0.037332,0.0313589,0.0174216,0.928868,0.914982,0.0138861,0.875692,0.592276
ar-fair-1b,unigram_destarved,ar,de-fr,de,fr,1,0,0,raw,best,0,0.119462,0.100548,0.0806371,0.335538,0.264738,0.0707999,1.25294,0.171269
ar-fair-1b,unigram_destarved,ar,de-fr,de,fr,1,0,0,centered,ref,12,0.108512,0.113987,0.0691887,0.251211,0.00055633,0.250655,1.50822,0.534022
ar-fair-1b,unigram_destarved,ar,de-fr,de,fr,1,0,0,centered,best,0,0.172225,0.170732,0.146839,0.120687,8.27584e-05,0.120604,1.70893,0.169162
ar-fair-1b,unigram_destarved,ar,de-ar,de,ar,0,0,1,raw,ref,12,0.0049776,0.00447984,0.00099552,0.811466,0.801131,0.0103348,0.637497,0.450193
ar-fair-1b,unigram_destarved,ar,de-ar,de,ar,0,0,1,raw,best,0,0.0199104,0.012444,0.0099552,0.0219315,0.000465356,0.0214662,0.57984,0.163176
ar-fair-1b,unigram_destarved,ar,de-ar,de,ar,0,0,1,centered,ref,12,0.035341,0.0507715,0.0219014,0.125844,-6.33232e-05,0.125907,1.30017,0.430458
ar-fair-1b,unigram_destarved,ar,de-ar,de,ar,0,0,1,centered,best,0,0.0462917,0.0487805,0.0363365,0.0344519,-5.33304e-05,0.0345053,0.82615,0.161868
ar-fair-1b,unigram_destarved,ar,de-zh,de,zh,0,0,0,raw,ref,12,0.0134395,0.00945744,0.0049776,0.9297,0.918346,0.0113542,0.676845,0.534011
ar-fair-1b,unigram_destarved,ar,de-zh,de,zh,0,0,0,raw,best,0,0.0492782,0.0403186,0.0283723,0.178615,0.137417,0.0411975,0.810205,0.151184
ar-fair-1b,unigram_destarved,ar,de-zh,de,zh,0,0,0,centered,ref,12,0.0333499,0.0214037,0.00846192,0.196909,0.000449899,0.196459,1.01637,0.486093
ar-fair-1b,unigram_destarved,ar,de-zh,de,zh,0,0,0,centered,best,0,0.0821304,0.0716775,0.0552514,0.0623314,0.000118724,0.0622127,1.08352,0.146043
ar-fair-1b,unigram_destarved,ar,fr-ar,fr,ar,0,0,1,raw,ref,12,0.00547536,0.00647088,0.00149328,0.80534,0.794311,0.011029,0.699516,0.470147
ar-fair-1b,unigram_destarved,ar,fr-ar,fr,ar,0,0,1,raw,best,0,0.0209059,0.0159283,0.00895968,0.041961,0.0206026,0.0213584,0.630426,0.153918
ar-fair-1b,unigram_destarved,ar,fr-ar,fr,ar,0,0,1,centered,ref,12,0.0428074,0.0662021,0.0238925,0.139455,-4.25664e-05,0.139498,1.51559,0.447991
ar-fair-1b,unigram_destarved,ar,fr-ar,fr,ar,0,0,1,centered,best,0,0.0413141,0.0472872,0.0323544,0.036345,-2.48851e-05,0.0363699,0.890254,0.153349
ar-fair-1b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,raw,ref,12,0.00796416,0.0099552,0.0024888,0.906588,0.896311,0.0102777,0.660011,0.511472
ar-fair-1b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,raw,best,0,0.0288701,0.0408163,0.0214037,0.165357,0.131298,0.0340588,0.709964,0.132946
ar-fair-1b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,centered,ref,12,0.0318566,0.0179194,0.00895968,0.182363,0.000311183,0.182052,1.02398,0.456146
ar-fair-1b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,centered,best,0,0.085117,0.0701842,0.0562469,0.0541047,6.68436e-05,0.0540379,1.00102,0.129023
ar-fair-1b,unigram_destarved,ar,ar-zh,ar,zh,0,0,1,raw,ref,12,0.0024888,0.00348432,0.00049776,0.802135,0.79408,0.00805455,0.170705,0.434339
ar-fair-1b,unigram_destarved,ar,ar-zh,ar,zh,0,0,1,raw,best,0,0.0159283,0.0159283,0.00895968,0.0666378,0.0490481,0.0175897,0.282186,0.183044
ar-fair-1b,unigram_destarved,ar,ar-zh,ar,zh,0,0,1,centered,ref,12,0.012444,0.0134395,0.00597312,0.0956698,-3.75036e-05,0.0957073,0.868606,0.401639
ar-fair-1b,unigram_destarved,ar,ar-zh,ar,zh,0,0,1,centered,best,0,0.0452962,0.0358387,0.0273768,0.0272674,-4.02865e-05,0.0273076,0.67257,0.182531
ar-fair-2b,unigram_destarved,ar,en-de,en,de,1,0,0,raw,ref,12,0.0557491,0.0318566,0.0214037,0.957298,0.95246,0.00483815,0.709166,0.413502
ar-fair-2b,unigram_destarved,ar,en-de,en,de,1,0,0,raw,best,0,0.171727,0.147337,0.120956,0.281331,0.162421,0.11891,1.98225,0.237441
ar-fair-2b,unigram_destarved,ar,en-de,en,de,1,0,0,centered,ref,12,0.312593,0.275759,0.235441,0.22669,6.75847e-05,0.226622,2.55178,0.403863
ar-fair-2b,unigram_destarved,ar,en-de,en,de,1,0,0,centered,best,9,0.301643,0.275759,0.240418,0.247089,0.000171216,0.246918,2.52519,0.428565
ar-fair-2b,unigram_destarved,ar,en-fr,en,fr,1,0,0,raw,ref,12,0.0756595,0.0348432,0.0238925,0.962905,0.956731,0.00617459,1.15434,0.471577
ar-fair-2b,unigram_destarved,ar,en-fr,en,fr,1,0,0,raw,best,0,0.219512,0.138875,0.11548,0.313679,0.17728,0.136399,2.28128,0.280163
ar-fair-2b,unigram_destarved,ar,en-fr,en,fr,1,0,0,centered,ref,12,0.486809,0.465406,0.399701,0.293372,3.86067e-05,0.293333,3.29809,0.458844
ar-fair-2b,unigram_destarved,ar,en-fr,en,fr,1,0,0,centered,best,11,0.485316,0.466899,0.399701,0.306481,9.97073e-05,0.306381,3.25654,0.476268
ar-fair-2b,unigram_destarved,ar,en-ar,en,ar,0,0,1,raw,ref,12,0.269288,0.383773,0.184171,0.958453,0.944806,0.0136476,2.4893,0.63336
