run,name,wandb_id,leg,step,tokens,metric,value
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,26113,24743746606.574455,eval/holdout_ar_bpb,0.698706062895859
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,26113,24743746606.574455,eval/holdout_en_bpb,0.9324714935106921
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,26622,25226056836.06729,eval/flores_ar_bpb,0.8273474179794795
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,26622,25226056836.06729,eval/flores_en_bpb,1.1299412063520082
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,26622,25226056836.06729,eval/holdout_ar_bpb,0.700716265570858
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,26622,25226056836.06729,eval/holdout_en_bpb,0.9364371487421728
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,27131,25708367065.560123,eval/flores_ar_bpb,0.8361910054189199
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,27131,25708367065.560123,eval/flores_en_bpb,1.1546432509104572
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,27131,25708367065.560123,eval/holdout_ar_bpb,0.702390025748942
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,27131,25708367065.560123,eval/holdout_en_bpb,0.9392063418327032
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,28149,26855938138.67481,eval/flores_ar_bpb,0.8544319665068779
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,28149,26855938138.67481,eval/flores_en_bpb,1.1541948451982362
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,28149,26855938138.67481,eval/holdout_ar_bpb,0.7121557691172081
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,28149,26855938138.67481,eval/holdout_en_bpb,0.9519974148430106
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,28658,27341556544.749107,eval/flores_ar_bpb,0.8545973887607847
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,28658,27341556544.749107,eval/flores_en_bpb,1.1552101849091778
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,28658,27341556544.749107,eval/holdout_ar_bpb,0.7148365811548878
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,28658,27341556544.749107,eval/holdout_en_bpb,0.9567572773745595
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,29167,27827174950.82341,eval/flores_ar_bpb,0.8557766131953369
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,29167,27827174950.82341,eval/flores_en_bpb,1.165607503465306
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,29167,27827174950.82341,eval/holdout_ar_bpb,0.7155129593002539
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,29167,27827174950.82341,eval/holdout_en_bpb,0.9678613689634127
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,29676,28312793356.89771,eval/flores_ar_bpb,0.871887600683998
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,29676,28312793356.89771,eval/flores_en_bpb,1.190371060510379
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,29676,28312793356.89771,eval/holdout_ar_bpb,0.7391984521133188
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,29676,28312793356.89771,eval/holdout_en_bpb,0.9908869784432547
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,30185,28798411762.972008,eval/flores_ar_bpb,0.8662389203319338
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,30185,28798411762.972008,eval/flores_en_bpb,1.1929941998049451
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,30185,28798411762.972008,eval/holdout_ar_bpb,0.7393302958640348
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,30185,28798411762.972008,eval/holdout_en_bpb,0.9926951149720723
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,30694,29284030169.04631,eval/flores_ar_bpb,0.876655124925028
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,30694,29284030169.04631,eval/flores_en_bpb,1.2280049457694564
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,30694,29284030169.04631,eval/holdout_ar_bpb,0.7445633363499535
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,30694,29284030169.04631,eval/holdout_en_bpb,0.9989069685599744
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,31203,29769648575.12061,eval/flores_ar_bpb,0.8918484624134615
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,31203,29769648575.12061,eval/flores_en_bpb,1.2090658663145082
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,31203,29769648575.12061,eval/holdout_ar_bpb,0.7495023008318573
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,31203,29769648575.12061,eval/holdout_en_bpb,1.0028613766576464
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,33238,31711168135.75165,eval/flores_ar_bpb,0.9735572706534472
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,33238,31711168135.75165,eval/flores_en_bpb,1.333141309545233
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,33238,31711168135.75165,eval/holdout_ar_bpb,0.8306134940413353
en-ar__unigram_destarved__100b-v13-gwd,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v13-gwd,,33238,31711168135.75165,eval/holdout_en_bpb,1.1256412050414657
en-ar__unigram_destarved__100b-v3,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v3,,26112,24721015653.386715,eval/flores_ar_bpb,0.8575833645096153
en-ar__unigram_destarved__100b-v3,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v3,,26112,24721015653.386715,eval/flores_en_bpb,1.165929682050393
en-ar__unigram_destarved__100b-v3,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v3,,26112,24721015653.386715,eval/holdout_ar_bpb,0.7324302923141087
en-ar__unigram_destarved__100b-v3,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v3,,26112,24721015653.386715,eval/holdout_en_bpb,0.9797076406144531
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,24586,23288933374.7504,eval/flores_ar_bpb,0.8334360699504898
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,24586,23288933374.7504,eval/flores_en_bpb,1.1251731185339306
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,24586,23288933374.7504,eval/holdout_ar_bpb,0.6975588538455733
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,24586,23288933374.7504,eval/holdout_en_bpb,0.9333738374113755
